Code guichet                            ,Code Localités                                         ,Code Términal GAB,GUICHETS,GAB| Nombre total des GAB,dont ceux servant à collecter les dépôts,gpsx,gpsy
824,405,1600760,BEJJAAD 11 JANVIER            ,1,,-6.39606,32.769197
828,405,11600122,BEJJAAD PPAL                  ,1,,-6.3908833,32.770086
796,615,1600226,BEN AHMED                     ,1,,-7.2434999,33.0664238
948,201,11600267,BENGUERIR BASE MILITAIRE      ,1,,-7.906637,32.129541
925,110,1600167,BENSLIMANE PPAL               ,1,,-7.1199131,33.6117668
925,110,11600428,BENSLIMANE PPAL               ,1,,-7.1199131,33.6117668
431,523,1600277,BEN TIB                       ,1,,-3.452545,35.045194
269,672,1600850,OURTZARH                      ,1,,-4.965852,34.535409
948,201,1600841,BENGUERIR BASE MILITAIRE      ,1,,-7.906637,32.129541
947,201,11600417,BENGUERIR PPAL                ,1,,-7.9604665,32.2384275
947,201,1600661,BENGUERIR PPAL                ,1,,-7.9604665,32.2384275
718,201,1600746,BENGUERIR VILLE               ,1,,-7.957229,32.236256
1022,201,1600876,BENGUERIR HASSAN II,1,,-7.947930,32.227744
466,56,1600379,BNI HADIFA                    ,1,,-4.142092,35.0221
468,55,1600275,BENI BOUAYACH                 ,1,,-3.841012,35.101048
90,571,11600331,BENI DRAR                     ,1,,-1.992786,34.858353
85,583,1600274,AIN BENI MATHAR               ,1,,-2.025047,34.016611
803,90,11600312,BENI MELLAL OULED HAMDANE     ,1,,-6.3675846,32.3361831
806,90,1600589,BENI MELLAL PPAL              ,1,,-6.3592816,32.3334411
204,315,1600349,BENI TAJJITE                  ,1,,-3.467978,32.293008
806,90,11600124,BENI MELLAL PPAL              ,1,,-6.3592816,32.3334411
587,10,11600358,BENSERGAO                     ,1,,-9.5686506,30.3931445
925,110,11600207,BENSLIMANE PPAL               ,1,,-7.1199131,33.6117668
929,110,1600347,BENSLIMANE FATH               ,1,,-7.129725,33.625028
925,110,1600801,BENSLIMANE PPAL               ,1,,-7.1199131,33.6117668
990,621,11600165,BERRECHID HAY TISSIR,1,,-7.582803,33.274917
819,621,11600044,BERRECHID YASMINA             ,1,,-7.5812638,33.263377
392,575,1600530,BERKANE BOUHDILA              ,1,,-2.338876,34.928511
413,575,1600411,BERKANE EL OUIDADIYA          ,1,,-2.3154867,34.9163452
393,575,11600421,BERKANE EL GRABA              ,1,,-2.323415,34.920282
391,575,11600135,BERKANE PPAL                  ,1,,-2.3314311,34.9271874
391,575,11600052,BERKANE PPAL                  ,1,,-2.3314311,34.9271874
818,621,1600160,BERRECHID PPAL                ,1,,-7.588512,33.265857
819,621,11600250,BERRECHID YASMINA             ,1,,-7.5812638,33.263377
1040,11,11600330,BIOUGRA AVENUE HASSAN II,1,,-9.374339,30.219478
615,11,1600756,BIOUGRA                       ,1,,-9.3696213,30.2149157
657,750,11600046,TIZNIT BIR ANZARANE           ,1,,-9.7241234,29.690979
962,542,1600766,BIRGANDOUZ                    ,1,,-16.467444,21.612778
877,177,1600361,BIR JDID                      ,1,,-7.993892,33.375008
37,810,1600913,RABAT AKKARI                  ,1,,-6.8592547,34.0110005
448,508,1600857,HAD BNI CHIKER                ,1,,-3.014454,35.276436
437,511,11600393,BENI ENZAR                    ,1,,-2.9328494,35.2668512
462,722,11600236,BNI KARRICH FOUKI             ,1,,-5.422949,35.50742
812,90,11600143,BENI MELLAL AIN ASSERDOUNE    ,1,,-6.3447252,32.3403803
833,90,11600374,BENI MELLAL HAY MOHAMMADI     ,1,,-6.358777,32.346993
407,316,1600351,BOUANANE                      ,1,,-3.049234,32.037996
404,312,11600137,BOUARFA                       ,1,,-1.958584,32.537341
404,312,11600178,BOUARFA                       ,1,,-1.958584,32.537341
443,527,11600334,BOUDINAR                      ,1,,-3.631834,35.156054
202,212,1600259,BOUDENIB                      ,1,,-3.603698,31.948184
202,212,11600412,BOUDENIB                      ,1,,-3.603698,31.948184
66,481,1600917,BOUFEKRANE                    ,1,,-5.483492,33.761406
622,325,11600352,BOUIZAKARNE                   ,1,,-9.7124908,29.1782341
778,130,11600132,BOUJDOUR                      ,1,,-14.482306,26.127382
778,130,1600252,BOUJDOUR                      ,1,,-14.482306,26.127382
121,824,1600406,BOUKNADEL                     ,1,,-6.739635,34.121913
853,400,1600852,BOULANOUAR                    ,1,,-6.876921,32.856892
244,140,1600337,BOULEMANE                     ,1,,-4.731637,33.366037
741,555,1600520,BOUMALNE DU DADES             ,1,,-5.9837186,31.3702739
219,395,1600771,BOUMIA                        ,1,,-5.096948,32.726245
514,791,1600330,BOUSKOURA                     ,1,,-7.650299,33.45643
207,210,1600512,ERRACHIDIA BOUTALAMINE        ,1,,-4.4395548,31.9199992
114,121,1600843,BOUZNKA HAY RIAD              ,1,,-7.158199,33.780226
113,121,1600720,BOUZNIKA                      ,1,,-7.1611065,33.7884078
572,780,1600392,CASA QUARTIER DES HOPITAUX    ,1,,-7.6155907,33.5778538
544,780,1600686,CASABLANCA  EL HANK           ,1,,-7.6530048,33.603545
511,780,11600411,CASABLANCA HAY HASSANI        ,1,,-7.6720848,33.5734179
495,780,11600286,CASABLANCA PRINCIPAL          ,1,,-7.619046,33.592695
498,780,11600019,CASABLANCA BOULEVARD 10 MARS  ,1,,-7.565329,33.561631
561,780,1600317,CASABLANCA 2 MARS             ,1,,-7.6110216,33.5687952
559,780,1600221,CASABLANCA HAY IFRIQUIA       ,1,,-7.587884,33.554474
570,780,1600733,CASABLANCA AHL LOGHLAM        ,1,,-7.4899131,33.6004498
560,780,11600065,CASABLANCA AIN BORJA          ,1,,-7.583191,33.5845385
517,780,11600392,CASABLANCA AIN CHOCK          ,1,,-7.5965993,33.556079
517,780,1600600,CASABLANCA AIN CHOCK          ,1,,-7.5965993,33.556079
522,780,11600141,CASABLANCA AIN DIAB           ,1,,-7.6764138,33.5922627
506,780,11600042,CASABLANCA AIN SEBAA          ,1,,-7.5393261,33.6045872
