Code guichet,empty,Code localité,id,Code commune,GUICHETS ,ENTREPRISES  TPE Nombre,ENTREPRISES  TPE Montant,ENTREPRISES PME Nombre,ENTREPRISES PME Montant,ENTREPRISES  GE  (*) Nombre,ENTREPRISES  GE  (*) Montant,ENTREPRISES Entrepreneurs individuels Nombre,ENTREPRISES  Entrepreneurs individuels Montant,ENTREPRISES  Total Nombre,ENTREPRISES  Total Montant,PARTICULIERS Nombre,PARTICULIERS Montant,Code GPS X,Code GPS X2
0001,,810,,Siege,,,,,2," 196,000   ",,, 2   ," 196,000   "," 144,674   "," 14,099   ",-6.8410666,34.0048949,
0002,,810,,RABAT RP                      ,,,,,,,,,,," 1,600   "," 129,457   ",-6.8372217,34.01961,
0003,,810,,RABAT BAB LAALOU              ,,,,,,,,,,, 3   , 33   ,-6.840926,34.027975,
0004,,810,,RABAT MEDINA                  ,,,,,,,,,,, -     , -     ,-6.830307,34.0241729,
0005,,810,,RABAT AEROPORT                ,,,,,,,,,,, -     , -     ,-6.762192,34.047255,
0006,,810,,RABAT HAY EL AMAL             ,,,,,,,,,,, -     , -     ,-6.8801625,33.982749,
0007,,810,,RABAT CITE YOUSSOUFIA         ,,,,,,,,,,, 106   ," 5,391   ",-6.8185267,33.9925367,
0008,,810,,RABAT ETAT MAJOR              ,,,,,,,,,,, 65   ," 2,443   ",-6.830535,34.011155,
0009,,810,,RABAT GARDE ROYALE            ,,,,,,,,,,, 121   ," 1,328   ",-6.837034,34.009599,
0010,,810,,RABAT CAMP MLY HASSAN         ,,,,,,,,,,, -     , -     ,-6.863574,34.006397,
0011,,810,,RABAT HOPITAL MED V           ,,,,,,,,,,, 47   ," 1,904   ",-6.8717283,33.9690452,
0012,,810,,RABAT FAR                     ,,,,,,,,,,, 1   , 0   ,-6.859365,34.010693,
0013,,810,,RABAT FORCE AUXILIAIRE        ,,,,,,,,,,, 83   ," 4,516   ",-6.860661,33.994407,
0014,,810,,RABAT CISS FAR                ,,,,,,,,,,, -     , -     ,-6.828994,34.007011,
0015,,810,,RABAT 1ER BATAILLON DE GARDE  ,,,,,,,,,,, 42   ," 2,086   ",-6.829591,34.004876,
0016,,810,,RABAT AL MANAL                ,,,,,,,,,,, -     , -     ,-6.889206,33.975538,
0017,,815,,SALE MEDINA                   ,,,,,,,,,,, 475   ," 25,194   ",-6.8188647,34.0363797,
0018,,825,,TEMARRA PPL                   ,,,,,,,,,,, 471   ," 32,122   ",-6.9166902,33.9273942,
0019,,825,,TEMARA  FOUARATE              ,,,,,,,,,,, 80   ," 3,125   ",-6.9230846,33.9021249,
