Code guichet,empty,Code localité,id,Code commune,GUICHETS ,ENTREPRISES  TPE Nombre,ENTREPRISES  TPE Montant,ENTREPRISES PME Nombre,ENTREPRISES PME Montant,ENTREPRISES  GE  (*) Nombre,ENTREPRISES  GE  (*) Montant,ENTREPRISES Entrepreneurs individuels Nombre,ENTREPRISES  Entrepreneurs individuels Montant,ENTREPRISES  Total Nombre,ENTREPRISES  Total Montant,PARTICULIERS Nombre,PARTICULIERS Montant,Code GPS X,Code GPS X2
0059,,480,59,,MEKNES AGDAL                  ,,,,,,,,,,, 3   , 3   ,-5.5461002,33.8807773
0060,,480,60,,MEKNES CIB                    ,,,,,,,,,,, 9   , 35   ,-5.51916,33.862585
0061,,480,61,,MEKNES AMIR ABDELKADER GARE   ,,,,,,,,,,, -     , -     ,-5.545400,33.899425
0062,,491,62,,ELHAJEB                       ,,,,,,,,,,, 301   ," 6,731   ",-5.3727302,33.6840255
0063,,491,63,,ELHAJEB MEDINA                ,,,,,,,,,,, 63   ," 3,210   ",-5.370912,33.691594
0064,,491,64,,EL HAJEB PLACE D'ARME         ,,,,,,,,,,, 99   , 64   ,-5.367411,33.687684
0065,,480,65,,MOULAY IDRISS                 ,,,,,,,,,,, 40   ," 1,502   ",-5.520435,34.056973
0066,,481,66,,BOUFEKRANE                    ,,,,,,,,,,, 24   ," 1,324   ",-5.483492,33.761406
0067,,480,67,,EL HADJ KADDOUR               ,,,,,,,,,,, 5   , 127   ,-5.424312,33.826278
0068,,480,68,,MEKNES MEDINA                 ,,,,,,,,,,, 172   ," 10,825   ",-5.5624321,33.8948115
0069,,480,69,,MEKNES BNI M'HAMMED           ,,,,,,,,,,, 229   ," 11,697   ",-5.5627741,33.8808497
0070,,492,70,,AIN TAOUJDATE                 ,,,,,,,,,,, 64   ," 4,598   ",-5.214529,33.937361
0071,,493,71,,AGOURAI                       ,,,,,,,,,,, 16   , 171   ,-5.587642,33.641553
0072,,494,72,,SEBAA AIOUN                   ,,,,,,,,,,, 47   ," 1,140   ",-5.373669,33.903563
0073,,570,73,,OUJDA PPAL                    ,,,,,,,,,,, 918   ," 32,021   ",-1.9146252,34.6842608
0074,,570,74,,AEREPORT OUJDA ANGAD          ,,,,,,,,,,, -     , -     ,-1.939516,34.785752
0075,,570,75,,OUJDA BADR                    ,,,,,,,,,,, 92   ," 3,541   ",-1.921662,34.6740781
0076,,570,76,,OUJDA MEDINA                  ,,,,,,,,,,, -     , -     ,-1.9120141,34.6786319
0077,,570,77,,OUJDA FAR                     ,,,,,,,,,,, -     , -     ,-1.9146842,34.6654759
0078,,570,78,,OUJDA AL QODS                 ,,,,,,,,,,, 1   , 16   ,-1.9081222,34.670777
0079,,570,79,,OUJDA MIR ALI                 ,,,,,,,,,,, 33   ," 1,452   ",-1.9303885,34.6795826
0080,,570,80,,OUJDA Q.INDUSTRIEL            ,,,,,,,,,,, 139   ," 2,347   ",-1.9006804,34.6989244
0081,,570,81,,BENI OUKIL                    ,,,,,,,,,,, 10   , 53   ,-2.001845,34.653423
0082,,570,82,,OUJDA LES IRIS                ,,,,,,,,,,, 102   ," 3,453   ",-1.923388,34.6558524
0083,,570,83,,OUJDA BOULEVARD MOHAMMED V    ,,,,,,,,,,, -     , -     ,-1.914786,34.684327
0084,,576,84,,AHFIR                         ,,,,,,,,,,, 334   ," 4,799   ",-2.0984665,34.9546363
0085,,583,85,,AIN BENI MATHAR               ,,,,,,,,,,, 100   ," 2,917   ",-2.025047,34.016611
0086,,587,86,,EL AIOUNE                     ,,,,,,,,,,, 42   ," 1,299   ",-2.5062937,34.5839962
0087,,582,87,,JERADA                        ,,,,,,,,,,, 81   ," 2,764   ",-2.1614823,34.3088742
0088,,582,88,,ZELIJA BOUBKER                ,,,,,,,,,,, -     , -     ,-1.73135,34.478171
0089,,573,89,,TOUISSITE                     ,,,,,,,,,,, -     , -     ,-1.764134,34.479127
0090,,571,90,,BENI DRAR                     ,,,,,,,,,,, 32   , 578   ,-1.992786,34.858353
0091,,570,91,,AIN ESSFA                     ,,,,,,,,,,, -     , -     ,-2.141368,34.75056
0092,,582,92,,AIN EL GUENFOUDA              ,,,,,,,,,,, 2   , 1   ,-2.0449832,34.4839996
0093,,330,93,,KENITRA PPL                   ,,,,,,,,,,, 702   ," 43,172   ",-6.5819773,34.2609252
0094,,330,94,,KENITRA ANCIENNE MEDINA       ,,,,,,,,,,, 16   ," 3,011   ",-6.5727961,34.2653687
0095,,330,95,,KENITRA BOUCHTIA              ,,,,,,,,,,, 6   , 193   ,-6.5589331,34.2643157
0096,,330,96,,KENITRA V HAUTE               ,,,,,,,,,,, 2   , 107   ,-6.5930737,34.2650727
0097,,330,97,,KENITRA FAR                   ,,,,,,,,,,, 9   , 234   ,-6.604843,34.289346
0098,,330,98,,KENITRA 3EME BAFRA            ,,,,,,,,,,, 28   , 803   ,-6.605004,34.289187
0099,,330,99,,KENITRA EL MENZEH             ,,,,,,,,,,, 6   , 87   ,-6.5210912,34.2522692
0100,,330,100,,KENITRA MAGHRIB AL ARABI      ,,,,,,,,,,, 7   , 149   ,-6.6107105,34.2435925
0101,,810,101,,RABAT HAOUZIA                 ,,,,,,,,,,, 117   ," 5,037   ",-6.6160709,34.2661012
0102,,332,102,,SIDI YAHIA GHARB              ,,,,,,,,,,, 38   ," 1,317   ",-6.3078046,34.3098556
0103,,332,103,,S.YAHYA DU GHARB B.MILITAIRE  ,,,,,,,,,,, -     , -     ,-6.271434,34.297678
0104,,340,104,,ALLAL TAZI                    ,,,,,,,,,,, 6   , 309   ,-6.323774,34.52174
0105,,337,105,,DAR GUEDDARI                  ,,,,,,,,,,, 5   , 32   ,-6.0914362,34.4196906
0106,,330,106,,KENITRA NOUVELLE MEDINA       ,,,,,,,,,,, 105   ," 3,548   ",-6.5611929,34.2589822
0107,,480,107,,AIN JEMAA                     ,,,,,,,,,,, -     , -     ,-5.7976753,34.0275707
0108,,330,108,,KENITRA AL MASSIRA            ,,,,,,,,,,, 71   ," 5,529   ",-6.55679,34.248575
0109,,270,109,,FES AIN KADOUS                ,,,,,,,,,,, 53   ," 4,976   ",-5.0089073,34.0614058
0110,,276,110,,SEBA ROUADI                   ,,,,,,,,,,, 5   , 84   ,-5.101164,34.033206
0111,,270,111,,FES SIDI BRAHIM               ,,,,,,,,,,, 68   ," 2,519   ",-4.987101,34.027042
0112,,810,112,,RABAT SOUISSI                 ,,,,,,,,,,, 255   ," 9,749   ",-6.8266672,33.9835942
0113,,121,113,,BOUZNIKA                      ,,,,,,,,,,, 77   ," 6,014   ",-7.1611065,33.7884078
0114,,121,114,,BOUZNKA HAY RIAD              ,,,,,,,,,,, -     , -     ,-7.158199,33.780226
0115,,822,115,,AIN AOUDA                     ,,,,,,,,,,, 84   ," 5,001   ",-6.790836,33.80619
0116,,825,116,,TEMARA BASSATINE EL MENZEH    ,,,,,,,,,,, 42   , 821   ,-6.853556,33.856914
0117,,815,117,,SALE HAY ESSALAM              ,,,,,,,,,,, 227   ," 14,025   ",-6.7926742,34.0407127
0118,,810,118,,RABAT MADINAT AL IRFANE       ,,,,,,,,,,, 91   ," 7,181   ",-6.8664471,33.9810031
0119,,821,119,,SKHIRATE                      ,,,,,,,,,,, 198   ," 12,488   ",-7.03893,33.851836
0120,,821,120,,SKHIRATE PARA (FAR)           ,,,,,,,,,,, -     , -     ,-7.06257,33.861128
0121,,824,121,,BOUKNADEL                     ,,,,,,,,,,, 109   ," 2,334   ",-6.739635,34.121913
0122,,124,122,,SIDI YAHIA ZAERS              ,,,,,,,,,,, 104   ," 4,865   ",-6.90465,33.826202
0123,,810,123,,RABAT AL-INBIAT               ,,,,,,,,,,, 86   ," 4,448   ",-6.810644,33.992321
0124,,272,124,,AIN CHEGAG                    ,,,,,,,,,,, 20   , 541   ,-5.041861,33.8821423
0125,,281,125,,EL MENZEL                     ,,,,,,,,,,, 250   ," 7,940   ",-4.545524,33.837959
0126,,276,126,,MOULAY YACOUB                 ,,,,,,,,,,, 4   , 54   ,-5.178536,34.088653
0127,,283,127,,RAS TABOUDA                   ,,,,,,,,,,, 1   , 50   ,-4.7138,34.004089
0128,,673,128,,TAFRANT                       ,,,,,,,,,,, 2   , 57   ,-5.124728,34.623982
0129,,281,129,,BIR TAMTAM                    ,,,,,,,,,,, 11   , 265   ,-4.643885,33.982306
0130,,276,130,,SIDI AHMED EL BERNOUSSI       ,,,,,,,,,,, -     , -     ,-4.997618,34.112457
0131,,287,131,,EL ADERJ                      ,,,,,,,,,,, -     , -     ,-4.432053,33.6315
0132,,270,132,,FES DOKKARAT                  ,,,,,,,,,,, 109   ," 12,972   ",-5.0190032,34.0411428
0133,,283,133,,TABOUDA                       ,,,,,,,,,,, 1   , 1   ,-5.135862,34.735419
0134,,810,134,,RABAT DAR EL HADITH           ,,,,,,,,,,, 42   ," 1,901   ",-6.8489081,34.0161729
0135,,810,135,,RABAT RYAD                    ,,,,,,,,,,, 306   ," 27,271   ",-6.8604926,33.9634694
0136,,270,136,,FES JNANATE                   ,,,,,,,,,,, 123   ," 3,540   ",-4.9651659,34.0697959
0137,,815,137,,SALE SIDI MOUSSA              ,,,,,,,,,,, 190   ," 8,766   ",-6.8104425,34.0538572
0138,,330,138,,MEHDYA                        ,,,,,,,,,,, 75   ," 3,195   ",-6.6659492,34.2606703
0139,,815,139,,SALE BETTANA                  ,,,,,,,,,,, 60   ," 3,800   ",-6.8088466,34.0296335
0140,,815,140,,"SALE K,O,MOUSSA               ",,,,,,,,,,, 240   ," 7,149   ",-6.767144,34.02095
0141,,270,141,,FES BENSOUDA                  ,,,,,,,,,,, 141   ," 8,211   ",-5.0539899,34.0171267
0142,,810,142,,RABAT AL MASSIRA              ,,,,,,,,,,, 224   ," 13,794   ",-6.8869727,33.9770429
0143,,810,143,,RABAT NATIONS UNIES           ,,,,,,,,,,, 231   ," 9,344   ",-6.8456827,33.9939411
0144,,825,144,,TEMARRA MASSIRA               ,,,,,,,,,,, 280   ," 12,359   ",-6.8977726,33.9266164
0145,,810,145,,RABAT ENNAHDA                 ,,,,,,,,,,, 181   ," 24,982   ",-6.8180493,33.9772197
0146,,810,146,,RABAT OCEAN                   ,,,,,,,,,,, 486   ," 21,605   ",-6.8454185,34.0238071
0147,,270,147,,FES AL ADARISSA               ,,,,,,,,,,, 90   ," 4,359   ",-5.0112704,34.019032
0148,,815,148,,SALA AL JADIDA                ,,,,,,,,,,, 199   ," 12,059   ",-6.744174,33.99865
0149,,810,149,,RABAT HAY EL KHEIR            ,,,,,,,,,,, 143   ," 10,527   ",-6.8743542,33.9974557
0150,,815,150,,SALE LâAYAYDA                 ,,,,,,,,,,, 232   ," 10,514   ",-6.7727548,34.062028
0151,,815,151,,SALE BAB CHAFAA               ,,,,,,,,,,, 128   ," 4,326   ",-6.8274102,34.0419985
0152,,270,152,,FES ZOHOR SAIS                ,,,,,,,,,,, 128   ," 11,348   ",-4.9802345,34.0105502
0153,,270,153,,FES SOUNDOUS                  ,,,,,,,,,,, 75   ," 5,264   ",-5.0325778,34.0583749
0154,,485,154,,AIN LEUH                      ,,,,,,,,,,, 12   , 303   ,-5.337145,33.28588
0155,,420,155,,SIDI ADDI                     ,,,,,,,,,,, 21   , 733   ,-5.334021,33.396246
0156,,810,156,,RABAT DIOUR JAMAA             ,,,,,,,,,,, 141   ," 10,824   ",-6.8480793,34.0139975
0157,,810,157,,RABAT AL MANZAH               ,,,,,,,,,,, 81   ," 4,132   ",-6.8960895,33.9719614
0158,,480,158,,MEKNES AL MANSOUR             ,,,,,,,,,,, 128   ," 14,177   ",-5.576849,33.8663644
0159,,480,159,,MEKNES HAY ECHOUHADA          ,,,,,,,,,,, 208   ," 13,842   ",-5.5038661,33.8908996
0160,,425,160,,AZROU AHADAF                  ,,,,,,,,,,, 161   ," 11,903   ",-5.2286232,33.4440875
0161,,425,161,,AZROU PRINCIPAL               ,,,,,,,,,,, 118   ," 7,077   ",-5.219284,33.4440584
0162,,388,162,,MRIRT                         ,,,,,,,,,,, 255   ," 8,675   ",-5.566442,33.1671751
0163,,388,163,,MRIRT BOULACHFAR              ,,,,,,,,,,, 11   ," 1,296   ",-5.569328,33.161530
0164,,380,164,,EL HAMMAM                     ,,,,,,,,,,, -     , -     ,-5.470049,33.175042
0165,,427,165,,TIMAHDITE                     ,,,,,,,,,,, -     , -     ,-5.059105,33.236772
0166,,810,166,,RABAT ANNAKHIL                ,,,,,,,,,,, 189   ," 15,332   ",-6.864595,33.954417
0167,,218,167,,ERFOUD                        ,,,,,,,,,,, 155   ," 4,968   ",-4.234211,31.434348
0168,,235,168,,RISSANI                       ,,,,,,,,,,, 125   ," 2,654   ",-4.269374,31.283218
0169,,211,169,,AOUFOUS                       ,,,,,,,,,,, 11   , 269   ,-4.177986,31.688251
0170,,222,170,,JORF                          ,,,,,,,,,,, 17   , 607   ,-4.40132,31.490166
0171,,210,171,,MERZOUGA                      ,,,,,,,,,,, 1   , 17   ,-4.016817,31.099173
0172,,219,172,,ALNIF                         ,,,,,,,,,,, 26   , 866   ,-5.168332,31.116043
0173,,210,173,,SEFFALATE                     ,,,,,,,,,,, -     , -     ,-4.275262,31.243766
0174,,210,174,,ZRIGATE                       ,,,,,,,,,,, -     , -     ,-4.208182,31.651221
0175,,270,175,,FES AGDAL                     ,,,,,,,,,,, 277   ," 17,449   ",-5.003677,34.0424808
0176,,810,176,,RABAT GUICH LOUDAYA           ,,,,,,,,,,, 210   ," 9,276   ",-6.88662,33.9383499
0177,,420,177,,IFRANE                        ,,,,,,,,,,, 499   ," 14,809   ",-5.1078111,33.5288521
0178,,420,178,,IFRANE AL AKHAWAYN UNIVERSITY ,,,,,,,,,,, -     , -     ,-5.106293,33.539597
0179,,420,179,,SOUK EL HAD OUED IFRANE       ,,,,,,,,,,, 2   , 41   ,-5.489742,33.29464
0180,,825,180,,TEMARRA HAY MAGHRIB EL ARABI  ,,,,,,,,,,, 52   ," 2,219   ",-6.8896991,33.9202287
0181,,825,181,,TEMARA MOULAY ALI CHERIF      ,,,,,,,,,,, 154   ," 6,715   ",-6.9059292,33.9324828
0182,,815,182,,SALE HSSAINE                  ,,,,,,,,,,, 164   ," 7,350   ",-6.7636997,34.0181627
0183,,815,183,,SALE HAY KARIMA               ,,,,,,,,,,, 239   ," 10,144   ",-6.7946014,34.0543327
0184,,330,184,,KENITRA KHABBAZATE            ,,,,,,,,,,, 319   ," 12,465   ",-6.5697894,34.2632373
0185,,330,185,,KENITRA TAIBIA                ,,,,,,,,,,, 101   ," 6,114   ",-6.5992923,34.2726379
0186,,810,186,,RABAT KAMRA                   ,,,,,,,,,,, 123   ," 7,296   ",-6.8738687,33.9909689
0187,,380,187,,KHENIFRA AMALOU IGHRIBEN      ,,,,,,,,,,, 159   ," 7,131   ",-5.6563712,32.9373013
0188,,380,188,,KHENIFRA PRINCIPAL            ,,,,,,,,,,, 501   ," 23,429   ",-5.6715954,32.935138
0189,,380,189,,KHENIFRA BOUFOULOUSSEN        ,,,,,,,,,,, -     , -     ,-5.6786791,32.9439373
0190,,386,190,,AIT ISHAK                     ,,,,,,,,,,, 45   ," 1,296   ",-5.726217,32.764673
0191,,385,191,,EL KEBAB                      ,,,,,,,,,,, 35   ," 1,353   ",-5.52401,32.741813
